Nome do Arquivo;Tempo de Processamento(ms);Quantidade de Linhas
tarefas1000.txt;5;1000
tarefas10000.txt;28;10000
tarefas11000.txt;61;11000
tarefas12000.txt;78;12000
tarefas13000.txt;100;13000
tarefas14000.txt;133;14000
tarefas15000.txt;153;15000
tarefas16000.txt;187;16000
tarefas17000.txt;335;17000
tarefas18000.txt;322;18000
tarefas19000.txt;380;19000
tarefas2000.txt;41;2000
tarefas20000.txt;438;20000
tarefas21000.txt;786;21000
tarefas22000.txt;1429;22000
tarefas23000.txt;1754;23000
tarefas24000.txt;1961;24000
tarefas25000.txt;2288;25000
tarefas26000.txt;2685;26000
tarefas27000.txt;2832;27000
tarefas28000.txt;3282;28000
tarefas29000.txt;4024;29000
tarefas3000.txt;383;3000
tarefas30000.txt;4380;30000
tarefas31000.txt;4594;31000
tarefas32000.txt;4805;32000
tarefas33000.txt;5304;33000
tarefas34000.txt;5783;34000
tarefas35000.txt;6426;35000
tarefas36000.txt;6930;36000
tarefas37000.txt;7496;37000
tarefas38000.txt;8175;38000
tarefas39000.txt;8817;39000
tarefas4000.txt;897;4000
tarefas40000.txt;9703;40000
tarefas41000.txt;10488;41000
tarefas42000.txt;11270;42000
tarefas43000.txt;12112;43000
tarefas44000.txt;12957;44000
tarefas45000.txt;13828;45000
tarefas46000.txt;14932;46000
tarefas47000.txt;15932;47000
tarefas48000.txt;16920;48000
tarefas49000.txt;18138;49000
tarefas5000.txt;1872;5000
tarefas50000.txt;19260;50000
tarefas51000.txt;20628;51000
tarefas52000.txt;21874;52000
tarefas53000.txt;22994;53000
tarefas54000.txt;24373;54000
tarefas55000.txt;25693;55000
tarefas56000.txt;27301;56000
tarefas57000.txt;28565;57000
tarefas58000.txt;30316;58000
tarefas59000.txt;31762;59000
tarefas6000.txt;3256;6000
tarefas60000.txt;33626;60000
tarefas61000.txt;35503;61000
tarefas62000.txt;37471;62000
tarefas63000.txt;39060;63000
tarefas64000.txt;40690;64000
tarefas65000.txt;42798;65000
tarefas66000.txt;44728;66000
tarefas67000.txt;46721;67000
tarefas68000.txt;49031;68000
tarefas69000.txt;51349;69000
tarefas7000.txt;5353;7000
tarefas70000.txt;53871;70000
tarefas71000.txt;56037;71000
tarefas72000.txt;58231;72000
tarefas73000.txt;60940;73000
tarefas74000.txt;63657;74000
tarefas75000.txt;66219;75000
tarefas76000.txt;68928;76000
tarefas77000.txt;71519;77000
tarefas78000.txt;81298;78000
tarefas79000.txt;97018;79000
tarefas8000.txt;9287;8000
tarefas80000.txt;94131;80000
tarefas81000.txt;90576;81000
tarefas82000.txt;96468;82000
tarefas83000.txt;101202;83000
tarefas84000.txt;100632;84000
tarefas85000.txt;102949;85000
tarefas86000.txt;104785;86000
tarefas87000.txt;112658;87000
tarefas88000.txt;141443;88000
tarefas89000.txt;124706;89000
tarefas9000.txt;12631;9000
tarefas90000.txt;129376;90000
tarefas91000.txt;152552;91000
tarefas92000.txt;141679;92000
tarefas93000.txt;140242;93000
tarefas94000.txt;144483;94000
tarefas95000.txt;147861;95000
tarefas96000.txt;154140;96000
tarefas97000.txt;149811;97000
tarefas98000.txt;159506;98000
tarefas99000.txt;166572;99000
